,Symbol,Name
162,GMMPFAUDLR.NS,Garware Technic
163,GMRINFRA.NS,General Insuran
164,GALAXYSURF.NS,Gland
165,GARFIBRES.NS,GlaxoSmithKline
166,GICRE.NS,Glenmark
167,GLAND.NS,GMM Pfaudler
168,GLAXO.NS,GMR Airports
169,GLENMARK.NS,Go Fashion
170,MEDANTA.NS,Godfrey Phillip
171,GOCOLORS.NS,Godrej Agrovet
172,GODFRYPHLP.NS,Godrej Consumer
173,GODREJAGRO.NS,Godrej Ind
174,GODREJCP.NS,Godrej Prop
175,GODREJIND.NS,Granules India
176,GODREJPROP.NS,Graphite India
177,GRANULES.NS,Grasim
178,GRAPHITE.NS,GE Shipping
179,GRASIM.NS,Greenpanel Ind
180,GESHIP.NS,Grindwell Norto
181,GREENPANEL.NS,Guj Alkali
182,GRINDWELL.NS,Guj Amb Exports
183,GUJALKALI.NS,Gujarat Fluoro
184,GAEL.NS,Gujarat Gas
185,FLUOROCHEM.NS,GNFC
186,GUJGASLTD.NS,Gujarat Pipavav
187,GNFC.NS,GSFC
188,GPPL.NS,Guj State Petro
189,GSFC.NS,Happiest Minds
190,GSPL.NS,Hatsun Agro
191,HEG.NS,Havells India
192,HCLTECH.NS,HCL Tech
193,HDFCAMC.NS,HDFC AMC
194,HDFCBANK.NS,HDFC Bank
195,HDFCLIFE.NS,HDFC Life
196,HFCL.NS,HEG
197,HLEGLAS.NS,Hero Motocorp
198,HAPPSTMNDS.NS,HFCL
199,HAVELLS.NS,Hikal
200,HEROMOTOCO.NS,Hindalco
201,HIKAL.NS,Hinduja Global
202,HINDALCO.NS,Hindustan Aeron
203,HGS.NS,Hind Copper
204,HAL.NS,HINDPETRO
205,HINDCOPPER.NS,HUL
206,HINDPETRO.NS,Hind Zinc
207,HINDUNILVR.NS,Hitachi Energy
208,HINDZINC.NS,HLE Glascoat
209,POWERINDIA.NS,Home First
210,HOMEFIRST.NS,Honeywell Autom
211,HONAUT.NS,HUDCO
212,HUDCO.NS,HDFC
213,HDFC.NS,ICICI Bank
214,ICICIBANK.NS,ICICI Lombard
215,ICICIGI.NS,ICICI Prudentia
216,ICICIPRULI.NS,ICICI Securitie
217,ISEC.NS,IDBI Bank
218,IDBI.NS,IDFC
219,IDFCFIRSTB.NS,IDFC First Bank
220,IDFC.NS,IFB Industries
221,IFBIND.NS,IIFL Finance
222,IIFL.NS,India Cements
223,IRB.NS,Indiabulls Hsg
224,ITC.NS,Indiabulls Real
225,ITI.NS,Indiamart Inter
226,INDIACEM.NS,Indian Bank
227,IBULHSGFIN.NS,IEX
228,IBREALEST.NS,Indian Hotels
229,INDIAMART.NS,IOC
230,INDIANB.NS,IOB
231,IEX.NS,IRFC
232,INDHOTEL.NS,Indigo Paints
233,IOC.NS,Indoco Remedies
234,IOB.NS,IGL
235,IRCTC.NS,INDUS TOWERS
236,IRFC.NS,IndusInd Bank
237,INDIGOPNTS.NS,Infibeam Avenue
238,IGL.NS,Info Edge
239,INDUSTOWER.NS,Infosys
240,INDUSINDBK.NS,INOX Leisure
241,INFIBEAM.NS,Intellect Desig
242,NAUKRI.NS,Interglobe Avi
243,INFY.NS,Ipca Labs
244,INGERRAND.NS,IRB Infra
245,INTELLECT.NS,IRCTC
246,INDIGO.NS,ITC
247,IPCALAB.NS,ITI
248,JBCHEPHARM.NS,J. K. Cement
249,JKCEMENT.NS,Jamna Auto
250,JBMA.NS,JB Chemicals
251,JKLAKSHMI.NS,JBM Auto
252,JKPAPER.NS,Jindal Stainles
253,JMFINANCIL.NS,Jindal Steel
254,JSWENERGY.NS,JK Lakshmi Cem
255,JSWSTEEL.NS,JK Paper
256,JAMNAAUTO.NS,JM Financial
257,JSL.NS,JSW Energy
258,JINDALSTEL.NS,JSW Steel
259,JINDWORLD.NS,Jubilant Food
260,JUBLFOOD.NS,Jubilant Ing.
261,JUBLINGREA.NS,Jubilant Pharmo
262,JUBLPHARMA.NS,Just Dial
263,JUSTDIAL.NS,Jyothy Labs
264,JYOTHYLAB.NS,Kajaria Ceramic
265,KPRMILL.NS,Kalpataru Power
266,KEI.NS,Kalyan Jeweller
267,KNRCON.NS,Kansai Nerolac
268,KPITTECH.NS,Karur Vysya
269,KRBL.NS,KEC Intl
270,KSB.NS,KEI Industries
271,KAJARIACER.NS,KNR Construct
272,KALPATPOWR.NS,Kotak Mahindra
273,KALYANKJIL.NS,KPIT Tech
274,KANSAINER.NS,KPR Mill
275,KARURVYSYA.NS,KRBL
276,KEC.NS,Krishna Inst.
277,KENNAMET.NS,L&T Finance
278,RUSTOMJEE.NS,L&T Technology
279,KFINTECH.NS,Lakshmi Machine
280,KOTAKBANK.NS,Larsen
281,KIMS.NS,Latent View
282,L&TFH.NS,Laurus Labs
283,LTTS.NS,Laxmi Organic
284,LICHSGFIN.NS,LIC Housing Fin
285,LTIM.NS,LIC India
286,LAXMIMACH.NS,Linde India
287,LT.NS,LTIMindtree
288,LATENTVIEW.NS,Lupin
289,LAURUSLABS.NS,Lux Industries
290,LXCHEM.NS,Macrotech Dev
291,LEMONTREE.NS,Mahanagar Gas
292,LICI.NS,M&M Financial
293,LINDEINDIA.NS,M&M
294,LUPIN.NS,Mahindra CIE
295,LUXIND.NS,Mahindra Holida
296,MMTC.NS,Mahindra Life
297,MRF.NS,Mahindra Logist
298,MTARTECH.NS,Manappuram Fin
299,LODHA.NS,MRPL
300,MGL.NS,Marico
301,M&MFIN.NS,Maruti Suzuki
302,M&M.NS,Mastek
303,MAHINDCIE.NS,Max Financial
304,MHRIL.NS,Max Healthcare
305,MAHLIFE.NS,Mazagon Dock
306,MAHLOG.NS,Medplus Health
307,MANAPPURAM.NS,Metro Brands
308,MRPL.NS,Metropolis
309,MARICO.NS,MMTC Ltd
310,MARUTI.NS,MOIL
311,MASTEK.NS,Motherson SWI
312,MFSL.NS,Motilal Oswal
313,MAXHEALTH.NS,MphasiS
314,MAZDOCK.NS,MRF
315,MEDPLUS.NS,MTAR Tech
316,MFL.NS,MCX India
317,METROBRAND.NS,Muthoot Finance
318,METROPOLIS.NS,Narayana Hruda
319,MSUMI.NS,Natco Pharma
320,MOTILALOFS.NS,NALCO
321,MPHASIS.NS,Navin Fluorine
322,MCX.NS,Nazara
323,MUTHOOTFIN.NS,NBCC (India)
324,NATCOPHARM.NS,NCC
325,NBCC.NS,Nestle
326,NCC.NS,Network 18
327,NHPC.NS,New India Assur
328,NLCINDIA.NS,NHPC
329,NMDC.NS,NIIT
330,NOCIL.NS,Nippon
331,NTPC.NS,NLC India
332,NH.NS,NOCIL
333,NATIONALUM.NS,NTPC
334,NAVINFLUOR.NS,Nuvoco Vistas
335,NAZARA.NS,Oberoi Realty
336,NESTLEIND.NS,ONGC
337,NETWORK18.NS,Oil India
338,NAM-INDIA.NS,Olectra Greente
339,NUVOCO.NS,One 97 Paytm
340,OBEROIRLTY.NS,Oracle Fin Serv
341,ONGC.NS,Orient Electric
342,OIL.NS,Page Industries
343,OLECTRA.NS,Patanjali Foods
344,PAYTM.NS,PB Fintech
345,OFSS.NS,PCBL
346,ORIENTELEC.NS,Persistent
347,POLICYBZR.NS,Petronet LNG
348,PCBL.NS,Pfizer
349,PIIND.NS,Phoenix Mills
350,PNBHOUSING.NS,PI Industries
351,PNCINFRA.NS,Pidilite Ind
352,PVR.NS,PNB Housing Fin
353,PAGEIND.NS,PNC Infratech
354,PATANJALI.NS,Poly Medicure
355,PERSISTENT.NS,Polycab
356,PETRONET.NS,Polyplex Corp
357,PFIZER.NS,Poonawalla Fin
358,PHOENIXLTD.NS,Power Finance
359,PIDILITIND.NS,Power Grid Corp
360,PEL.NS,Praj Industries
361,PPLPHARMA.NS,Prestige Estate
362,POLYMED.NS,Prince Pipes
363,POLYCAB.NS,Prism Johnson
364,POLYPLEX.NS,Privi Special
365,POONAWALLA.NS,Procter&Gamble
366,PFC.NS,P and G
367,POWERGRID.NS,PNB
368,PRAJIND.NS,PVR
369,PRESTIGE.NS,Quess Corp
370,PRINCEPIPE.NS,Radico Khaitan
371,PRSMJOHNSN.NS,Rail Vikas
372,PGHH.NS,Rain Industries
373,PNB.NS,Rajesh Exports
374,QUESS.NS,Rallis India
375,RBLBANK.NS,Rashtriya Chem
376,RECLTD.NS,Ratnamani Metal
377,RHIM.NS,Rattanindia Ent
378,RITES.NS,Raymond
379,RADICO.NS,RBL Bank
380,RVNL.NS,REC
381,RAIN.NS,Redington
382,RAINBOW.NS,Relaxo Footwear
383,RAJESHEXPO.NS,Reliance
384,RALLIS.NS,Restaurant Bran
385,RCF.NS,RHI Magnesita
386,RATNAMANI.NS,RITES
387,RTNINDIA.NS,Rossari
388,RAYMOND.NS,Route
389,REDINGTON.NS,MOTHERSON
390,RELAXO.NS,Sanofi India
391,RELIANCE.NS,Sapphire Foods
392,RBA.NS,Saregama India
393,ROSSARI.NS,SBI Card
394,ROUTE.NS,SBI Life Insura
395,SBICARD.NS,Schaeffler Ind
396,SBILIFE.NS,Sharda Crop
397,SJVN.NS,Sheela Foam
398,SKFINDIA.NS,Shilpa
399,SRF.NS,Shipping Corp
400,MOTHERSON.NS,Shoppers Stop
401,SANOFI.NS,Shree Cements
402,SAPPHIRE.NS,Shree Renuka
403,SCHAEFFLER.NS,Shriram Finance
404,SHARDACROP.NS,Shyam Metalics
405,SHOPERSTOP.NS,Siemens
406,SHREECEM.NS,SIS
407,RENUKA.NS,SJVN
408,SHRIRAMFIN.NS,SKF India
409,SHYAMMETL.NS,Sobha
410,SIEMENS.NS,Solar Ind
411,SOBHA.NS,Sona BLW
412,SOLARINDS.NS,Sonata
413,SONACOMS.NS,SRF
414,SONATSOFTW.NS,Star Health
415,STARHEALTH.NS,SBI
416,SBIN.NS,SAIL
417,SAIL.NS,Sterling Wilson
418,SWSOLAR.NS,Sterlite Techno
419,STLTECH.NS,Sudarshan Chem
420,SUMICHEM.NS,SUMITOMO
421,SPARC.NS,Sun Pharma Adv
422,SUNPHARMA.NS,Sun Pharma
423,SUNTV.NS,Sun TV Network
424,SUNDARMFIN.NS,Sundaram Fin
425,SUNDRMFAST.NS,Sundram
426,SUNTECK.NS,Sunteck Realty
427,SUPRAJIT.NS,Suprajit Eng
428,SUPREMEIND.NS,Supreme Ind
429,SUVENPHAR.NS,Suven Pharma
430,SUZLON.NS,Suzlon Energy
431,SWANENERGY.NS,Swan Energy
432,SYNGENE.NS,Symphony
433,TCIEXP.NS,Syngene Intl
434,TCNSBRANDS.NS,Tanla Platforms
435,TTKPRESTIG.NS,Tata Chemicals
436,TV18BRDCST.NS,Tata Coffee
437,TVSMOTOR.NS,Tata Comm
438,TMB.NS,TCS
439,TANLA.NS,TATA Cons. Prod
440,TATACHEM.NS,Tata Elxsi
441,TATACOMM.NS,Tata Inv Corp
442,TCS.NS,Tata Motors
443,TATACONSUM.NS,TML - D
444,TATAELXSI.NS,Tata Steel
445,TATAINVEST.NS,TataTeleservice
446,TATAMTRDVR.NS,TCI Express
447,TATAMOTORS.NS,TCNS Clothing C
448,TATAPOWER.NS,TeamLease Ser.
449,TATASTEEL.NS,Tech Mahindra
450,TTML.NS,Tejas Networks
451,TEAMLEASE.NS,Ramco Cements
452,TECHM.NS,Tata Power
453,TEJASNET.NS,Thermax
454,NIACL.NS,Thyrocare Techn
455,RAMCOCEM.NS,Timken
456,THERMAX.NS,Titan Company
457,TIMKEN.NS,Torrent Pharma
458,TITAN.NS,Torrent Power
459,TORNTPHARM.NS,Transport Corp
460,TORNTPOWER.NS,Trent
461,TCI.NS,Trident
462,TRENT.NS,Triveni Engg
463,TRIDENT.NS,Triveni Turbine
464,TRIVENI.NS,TTK Prestige
465,TRITURBINE.NS,Tube Investment
466,TIINDIA.NS,TV18 Broadcast
467,UCOBANK.NS,TVS Motor
468,UFLEX.NS,Uflex
469,UNOMINDA.NS,UltraTechCement
470,UPL.NS,Union Bank
