Symbol,Name,LastSale,NetChange,%Change,MarketCap,Country,IPOYear,Volume,Sector,Industry
BANDHANBNK.NS,BASF,2363.95,0,10232.51,India,3260,Chemicals
BANKBARODA.NS,BataIndia,1431.05,0.68,18392.93,India,498684,LeatherProducts
BANKINDIA.NS,BayerCropScien,4105.95,-0.39,18453,India,4962,Pesticides&AgroChemicals
MAHABANK.NS,BergerPaints,575.65,-0.7,55915.72,India,248417,Paints&Varnishes
BATAINDIA.NS,BharatDynamics,971.45,-1.34,17804.86,India,506253,Miscellaneous
BAYERCROP.NS,BharatElec,101.4,-1.51,74121.16,India,11271768,Electricals
BERGEPAINT.NS,BharatForge,780.55,-1.11,36341.52,India,885865,Castings&Forgings
BDL.NS,BHEL,75.4,-0.07,3918.56,India,19669027,Infrastructure-General
BEL.NS,BPCL,342,2.15,433801.74,India,4926432,Refineries
BHARATFORG.NS,BharatRasayan,9430.35,-0.72,26254.76,India,349,Pesticides&AgroChemicals
BHEL.NS,BhartiAirtel,764.65,0.64,27541.76,India,3429794,Telecommunications-Service
BPCL.NS,Biocon,229.4,-1.16,7009.41,India,4306899,Pharmaceuticals
BHARTIARTL.NS,BirlaCorp,910.25,-1.95,7094.41,India,31681,Cement-Major
BIKAJI.NS,Birlasoft,258.1,-1.99,14399.77,India,1542730,Computers-SoftwareMedium&Small
BIOCON.NS,BlueDart,6068.7,0.14,14145.14,India,15430,Couriers
BIRLACORPN.NS,BlueStar,1468.65,0.31,6442.74,India,63030,ConsumerGoods-WhiteGoods
BSOFT.NS,BombayBurmah,923.4,2.11,5868.5,India,82723,Plantations-Tea&Coffee
BLUEDART.NS,BorosilRenew,449.7,1.32,55112.41,India,247634,Glass&GlassProducts
BLUESTARCO.NS,Bosch,18686.2,-0.68,74188.44,India,13542,AutoAncillaries
BBTC.NS,BrigadeEnt,498.55,-0.49,11503.13,India,114666,Construction&Contracting-RealEstate
BORORENEW.NS,BrightcomGroup,13.3,-5,2684.63,India,2055173,Computers-SoftwareMedium&Small
BOSCHLTD.NS,Britannia,4293.85,-0.19,103425.23,India,347248,FoodProcessing
BRIGADE.NS,BSELimited,454.4,-2.74,6155.43,India,435629,Miscellaneous
BCG.NS,C.E.InfoSyst,1011.75,-0.33,5429.13,India,33124,Software
BRITANNIA.NS,CampusActive,352.55,0.81,10741.71,India,2037784,Footwear
MAPMYINDIA.NS,CanFinHomes,564.55,0.37,10357.74,India,412979,Finance-Housing
CCL.NS,CanaraBank,295.05,-1.39,7517.22,India,4510457,Banks-PublicSector
CESC.NS,CaplinLabs,676.5,9.06,53525.91,India,774672,Pharmaceuticals
CGPOWER.NS,CapriGlobal,626.6,1.51,5136.11,India,632867,Finance-General
CRISIL.NS,Carborundum,981.95,-0.98,12911.66,India,26787,Abrasives
CSBBANK.NS,Castrol,116.9,1.65,18651.55,India,1002757,Lubricants
CAMPUS.NS,CCLProducts,559,-0.04,11562.84,India,143448,Plantations-Tea&Coffee
CANFINHOME.NS,Ceat,1427.55,-1.17,7436.26,India,96404,Tyres
CANBK.NS,CentralBank,27.05,1.12,10525.24,India,12112141,Banks-PublicSector
CGCL.NS,CDSL,1007.2,-0.41,5774.45,India,224437,Finance-Investments
CARBORUNIV.NS,CenturyPlyboard,523.05,2.22,23481.94,India,320638,Miscellaneous
CASTROLIND.NS,Century,682.75,1.14,7626.02,India,233980,Diversified
CEATLTD.NS,CeraSanitary,6339.45,0.11,11620.76,India,16149,Ceramics&Granite
